Age,AgePlus,AgeMinus,TiO2,TiO2SD
3.88,0.04,0.04,1.49,0.36
3.8,0.03,0.05,1.5,0.28
3.78,0.02,0.05,0.52,0.14
3.75,0.04,0.01,0.97,0.25
3.73,0.05,0.06,0.71,0.21
3.52,0.06,0.09,1.44,0.38
3.72,0.03,0.07,0.71,0.23
3.71,0.02,0.07,0.66,0.18
3.7,0.05,0.06,1.67,0.42
3.7,0.05,0.05,2.13,0.4
3.69,0.07,0.07,2.72,0.74
3.68,0.07,0.12,0.68,0.19
3.67,0.04,0.05,1.2,0.3
3.67,0.03,0.01,1.98,0.45
3.66,0.05,0.03,0.76,0.24
3.66,0.03,0.04,1.32,0.34
3.64,0.05,0.11,1.09,0.31
3.64,0.03,0.14,0.9,0.25
3.1,0.23,0.47,0.66,0.18
3.59,0.06,0.17,0.93,0.32
3.59,0.06,0.17,0.73,0.2
3.57,0.05,0.07,2.24,0.4
3.54,0.11,0.13,0.94,0.25
3.53,0.06,0.07,0.68,0.2
3.51,0.07,0.19,3.27,0.59
3.38,0.1,0.04,1.63,0.39
3.35,0.07,0.46,1.18,0.21
3.27,0.1,0.17,1.1,0.33
3.27,0.13,0.18,0.62,0.17
3.08,0.32,0.82,3.8,0.64
3.49,0.08,0.1,4.75,0.77
3.45,0.09,0.06,6.1,0.75
3.41,0.08,0.08,3.29,0.66
3.36,0.1,0.11,3.94,0.55
3.32,0.1,0.14,5.38,0.98
3.77,0.03,0.04,1.15,0.27
3.74,0.03,0.06,0.56,0.15
3.72,0.04,0.06,0.66,0.16
3.72,0.05,0.1,1.51,0.39
3.71,0.05,0.07,0.64,0.17
3.64,0.04,0.06,1.54,0.36
3.63,0.03,0.03,1.2,0.37
3.62,0.04,0.03,0.58,0.17
3.62,0.04,0.06,0.8,0.2
3.6,0.07,0.13,1.42,0.33
3.58,0.06,0.06,0.92,0.27
3.56,0.03,0.05,0.68,0.18
3.56,0.03,0.04,1.05,0.25
3.56,0.04,0.06,0.96,0.29
3.54,0.06,0.05,0.73,0.21
3.54,0.06,0.08,1.39,0.39
3.53,0.05,0.07,0.79,0.2
3.53,0.07,0.1,0.67,0.19
3.51,0.06,0.09,0.93,0.24
n.d.,n.d.,n.d.,n.d.,n.d.
3.49,0.08,0.09,0.78,0.17
3.48,0.05,0.1,0.66,0.53
3.48,0.07,0.1,1.12,0.32
3.47,0.06,0.1,0.74,0.26
3.47,0.09,0.1,2.02,0.48
3.46,0.11,0.1,1.39,0.4
3.46,0.07,0.11,0.89,0.26
3.45,0.07,0.11,1.5,0.48
3.43,0.09,0.08,0.74,0.18
3.43,0.09,0.12,1.56,0.56
3.42,0.06,0.08,2.4,0.54
3.39,0.1,0.16,0.67,0.17
3.22,0.21,0.2,1.84,0.5
3.17,0.21,0.11,0.99,0.21
3.11,0.17,0.12,0.9,0.23
3.02,0.12,0.33,1.08,0.3
2.61,0.5,0.34,0.88,0.22
3.7,0.02,0.05,2.87,0.51
3.69,0.03,0.03,2.59,0.51
3.64,0.05,0.06,3.08,0.61
3.62,0.02,0.02,2.69,0.41
3.53,0.02,0.03,2.69,0.39
3.46,0.02,0.03,6.02,0.93
3.45,0.02,0.04,4.28,0.64
3.45,0.05,0.04,8.73,1.15
3.42,0.03,0.04,2.44,0.4
3.33,0.08,0.13,4.75,0.62
3.1,0.1,0.13,6.98,0.97
3.57,0.07,0.02,6.59,1.05
3.55,0.04,0.04,3.59,0.56
3.55,0.05,0.07,5.07,0.74
2.04,0.11,0.12,6.62,0.85
3.52,0.06,0.08,1.57,0.41
3.5,0.06,0.06,2.16,0.45
3.47,0.05,0.06,6.35,1.17
3.45,0.05,0.06,2.8,0.47
3.41,0.06,0.08,3.54,0.53
3.4,0.06,0.04,2.43,0.5
3.39,0.07,0.08,1.66,0.45
3.35,0.08,0.05,2.08,0.41
3.33,0.05,0.05,3.98,0.51
3.33,0.04,0.05,1.78,0.43
3.31,0.05,0.06,4.48,0.6
3.3,0.05,0.06,2.99,0.56
3.26,0.08,0.07,1.24,0.35
3.11,0.1,0.13,1.35,0.23
3.1,0.09,0.14,2.12,0.38
3.01,0.12,0.16,6.78,0.78
3.01,0.12,0.16,1.47,0.41
1.98,0.08,0.09,6.79,1.12
2.68,0.2,0.22,2.67,0.5
2.48,0.18,0.2,2.27,0.49
2.55,0.18,0.22,1.45,0.33
1.98,0.1,0.11,6.41,1.04
2.44,0.18,0.18,1.33,0.41
2.01,0.07,0.07,6.81,1.09
1.86,0.08,0.08,7.6,0.92
1.96,0.13,0.14,5.59,0.67
3.54,0.07,0.11,3.48,0.55
3.14,0.15,0.12,4.01,0.64
2.96,0.13,0.16,5.22,0.83
2.93,0.14,0.17,4.62,0.58
2.57,0.29,0.25,6.32,1.79
3.47,0.04,0.05,2.58,0.57
3.49,0.05,0.05,2.85,0.74
3.9,0.02,0.01,2.22,0.57
3.67,0.05,0.06,3.18,0.7
3.63,0.03,0.05,5.66,1.06
3.63,0.05,0.1,4.09,0.62
3.63,0.05,0.05,3.49,0.55
3.6,0.05,0.03,4.99,0.93
3.53,0.07,0.08,3.68,0.63
3.5,0.1,0.12,5.08,1.09
3.49,0.07,0.09,2.13,0.36
3.48,0.07,0.09,3.12,0.65
3.48,0.06,0.06,5.28,0.85
3.38,0.07,0.1,2.44,0.43
3.37,0.07,0.09,4.38,0.72
3.32,0.09,0.13,6.81,1.15
3.25,0.11,0.18,3.87,0.81
3.16,0.08,0.11,4.64,0.72
3.09,0.1,0.14,3.18,0.42
2.77,0.31,0.17,4.1,0.54
3.59,0.05,0.09,3.29,1
3.57,0.08,0.08,4.81,0.73
3.53,0.09,0.07,7.64,1.03
3.48,0.07,0.1,2.42,0.42
3.48,0.08,0.06,2.38,0.37
3.48,0.1,0.14,7.25,0.8
3.48,0.07,0.14,3,0.52
3.47,0.08,0.09,5.85,0.78
3.47,0.08,0.06,3.18,0.65
3.44,0.07,0.07,1.3,0.33
3.43,0.09,0.08,7.7,0.89
3.42,0.1,0.07,9.42,1.34
3.4,0.11,0.15,1.43,0.41
3.36,0.05,0.09,4.5,0.78
3.34,0.08,0.11,6.19,0.99
3.33,0.08,0.05,3.87,0.69
3.32,0.08,0.14,5.66,0.76
3.32,0.08,0.06,4.93,0.94
3.31,0.05,0.06,5.84,0.97
3.12,0.18,0.45,8.16,1.07
3.12,0.16,0.13,2.58,0.53
3.08,0.18,0.14,4.38,0.99
3.07,0.11,0.14,4.82,0.69
2.6,0.18,0.2,5.79,0.95
2.05,0.18,0.2,5.44,0.89
2.14,0.12,0.12,8,1.11
2.73,0.16,0.18,4.07,0.6
2.87,0.2,0.26,1.98,0.54
3.04,0.13,0.22,3.17,0.77
3.31,0.11,0.29,4.15,0.75
3.21,0.07,0.1,2.85,0.54
1.79,0.1,0.1,9.5,1.47
2.47,0.19,0.21,5.48,0.86
2.87,0.17,0.22,10.05,1.38
1.5,0.1,0.1,12.4,1.59
2.48,0.42,0.5,3.86,0.65
2.35,0.29,0.33,5.16,0.94
1.91,0.15,0.16,6.12,0.73
1.97,0.22,0.24,5.41,0.86
2.56,0.14,0.15,3.64,0.71
2.99,0.12,0.16,5.63,0.77
2.19,0.26,0.28,4.36,0.75
1.58,0.19,0.19,8.29,1.02
2.15,0.28,0.29,7.3,1.07
1.88,0.09,0.09,8.02,1.06
1.76,0.15,0.17,6.42,0.7
2.19,0.18,0.18,8.61,0.91
1.85,0.23,0.25,4.13,0.55
1.71,0.1,0.11,10.88,1.67
2.2,0.18,0.19,6.49,0.95
1.84,0.12,0.12,7.48,0.84
1.87,0.1,0.1,8.66,1.29
2.1,0.11,0.11,9.52,1.48
2.06,0.21,0.22,6.88,0.94
2.5,0.21,0.23,4.45,0.99
2.34,0.4,0.43,2.48,0.53
1.73,0.13,0.13,9,1.11
1.91,0.11,0.11,5.29,0.95
1.81,0.2,0.22,5.29,0.8
1.73,0.13,0.14,6.39,1.05
3.81,0.03,0.05,5,0.95
3.76,0.03,0.09,5.86,1.16
3.73,0.05,0.07,2.44,0.56
3.71,0.02,0.05,5.51,0.92
3.7,0.04,0.04,12.31,1.71
3.7,0.04,0.07,6.64,1.35
3.67,0.03,0.06,7.87,1.2
3.63,0.05,0.04,4.34,0.76
3.62,0.05,0.09,9.36,1.56
3.6,0.05,0.1,5.49,1.04
3.55,0.05,0.09,8.61,1.17
3.52,0.08,0.05,2.78,0.54
3.49,0.08,0.05,2.72,0.38
3.49,0.05,0.08,2.73,0.54
3.44,0.03,0.06,3.01,0.39
3.43,0.09,0.09,5.89,0.76
3.43,0.06,0.11,2.54,0.53
3.42,0.1,0.08,11.06,1.42
3.4,0.09,0.14,4.03,0.59
3.37,0.04,0.1,1.78,0.42
3.3,0.05,0.14,7.9,0.85
3.28,0.09,0.17,3.49,0.48
3.23,0.12,0.2,4.61,0.54
3.21,0.07,0.09,3.83,0.55
2.99,0.12,0.16,7.53,1.42
2.94,0.13,0.17,6.22,0.84
2.9,0.15,0.18,3.52,0.55
2.84,0.16,0.18,3.72,0.52
2.44,0.17,0.17,3.65,0.54
1.75,0.19,0.19,3.4,0.45
2.03,0.35,0.35,5.03,0.72
2.16,0.36,0.37,2.77,0.41
2.91,0.19,0.27,6.02,0.83
3.77,0.02,0.02,2.95,0.46
3.77,0.01,0.01,1.62,0.3
2.16,0.18,0.18,4.77,0.71
2.2,0.19,0.19,3.93,0.64
3.8,0.03,0.04,7.34,1.15
3.76,0.02,0.07,9.58,1.03
3.75,0.03,0.06,4.29,0.52
3.75,0.04,0.03,10.37,1.3
3.74,0.03,0.05,11.5,1.33
3.71,0.05,0.1,10.33,1.17
3.7,0.03,0.04,6.42,0.75
3.7,0.04,0.06,10.44,1.39
3.7,0.04,0.06,9.35,0.92
3.69,0.02,0.08,11.56,1.12
3.69,0.04,0.06,5.03,0.6
3.68,0.03,0.04,14.07,1.67
3.67,0.04,0.06,9.21,0.91
3.66,0.06,0.08,7.24,0.92
3.64,0.04,0.05,3.51,0.43
3.64,0.04,0.07,9.07,1.25
3.63,0.03,0.1,9.46,0.88
3.62,0.02,0.04,10.32,1.27
3.6,0.08,0.03,7.81,0.97
3.58,0.05,0.1,10.78,1.05
3.57,0.03,0.05,12.54,1.27
3.54,0.06,0.07,12.13,1.92
3.53,0.06,0.1,7.55,0.86
3.5,0.09,0.05,9.54,1.14
3.5,0.05,0.05,9.12,1.13
3.46,0.07,0.1,10.56,1.22
3.39,0.07,0.14,10.96,0.97
